match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
11,MM Sharma,10.0,8.0,2.0,0.0,125.0,MM Sharma,18.0,30.0,0,3.0,10.0
11,MP Stoinis,66.0,47.0,5.0,3.0,140.43,MP Stoinis,27.0,38.0,0,4.3,8.84
11,Mohammad Hafeez,16.0,24.0,1.0,0.0,66.67,Mohammad Hafeez,13.0,16.0,0,2.1,7.62
11,Mohammed Siraj,3.0,9.0,0.0,0.0,33.33,Mohammed Siraj,24.0,39.0,run out,4.0,9.75
11,Mohsin Khan,2.0,1.0,0.0,0.0,200.0,Mohsin Khan,25.0,34.0,caughtcaught,4.1,8.29
11,Mukesh Choudhary,2.0,2.0,0.0,0.0,100.0,Mukesh Choudhary,27.0,52.0,caught,4.3,12.09
11,Mukesh Kumar,1.0,1.0,0.0,0.0,100.0,Mukesh Kumar,24.0,37.0,caught and bowledcaught and bowled,4.0,9.25
11,OF Smith,3.0,9.0,0.0,0.0,33.33,OF Smith,12.0,14.0,caught,2.0,7.0
11,P Awana,1.0,5.0,0.0,0.0,20.0,P Awana,12.0,20.0,0,2.0,10.0
11,P Kumar,16.0,12.0,0.0,1.0,133.33,P Kumar,66.0,86.0,0,11.0,7.82
11,P Negi,3.0,4.0,0.0,0.0,75.0,P Negi,24.0,39.0,0,4.0,9.75
11,P Ray Barman,19.0,25.0,2.0,0.0,76.0,P Ray Barman,24.0,56.0,0,4.0,14.0
11,PP Chawla,4.0,5.0,1.0,0.0,80.0,PP Chawla,66.0,80.0,bowledcaught,11.0,7.27
11,Pankaj Singh,0.0,1.0,0.0,0.0,0.0,Pankaj Singh,14.0,20.0,0,2.2,9.09
11,R Ashwin,8.0,5.0,1.0,0.0,160.0,R Ashwin,114.0,141.0,run outcaughtcaughtcaughtcaughtcaught,19.0,7.42
11,R Bhatia,21.0,9.0,1.0,2.0,233.33,R Bhatia,12.0,31.0,0,2.0,15.5
11,R Ninan,3.0,6.0,0.0,0.0,50.0,R Ninan,18.0,34.0,caught,3.0,11.33
11,R Powell,2.0,2.0,0.0,0.0,100.0,R Powell,14.0,18.0,bowled,2.2,8.18
11,R Sathish,8.0,6.0,1.0,0.0,133.33,R Sathish,6.0,16.0,0,1.0,16.0
11,R Vinay Kumar,5.0,7.0,0.0,0.0,71.43,R Vinay Kumar,31.0,35.0,caughtcaught,5.1,6.86
11,RA Jadeja,13.0,20.0,1.0,0.0,65.0,RA Jadeja,63.0,83.0,caughtcaught,10.3,8.06
11,RD Chahar,12.0,8.0,1.0,1.0,150.0,RD Chahar,42.0,67.0,caughtcaughtcaughtbowled,7.0,9.57
11,RJ Harris,0.0,2.0,0.0,0.0,0.0,RJ Harris,24.0,30.0,0,4.0,7.5
11,RS Bopara,107.0,80.0,5.0,6.0,133.75,RS Bopara,30.0,22.0,caughtcaught and bowled,5.0,4.4
11,Ravi Bishnoi,0.0,1.0,0.0,0.0,0.0,Ravi Bishnoi,18.0,25.0,0,3.0,8.33
11,S Aravind,2.0,5.0,0.0,0.0,40.0,S Aravind,39.0,60.0,caught,6.3,9.52
11,SB Jakati,1.0,2.0,0.0,0.0,50.0,SB Jakati,18.0,23.0,0,3.0,7.67
11,SK Raina,66.0,54.0,3.0,5.0,122.22,SK Raina,6.0,12.0,0,1.0,12.0
11,SM Curran,0.0,1.0,0.0,0.0,0.0,SM Curran,24.0,28.0,caughtcaughtcaught,4.0,7.0
11,SP Narine,37.0,19.0,4.0,3.0,194.74,SP Narine,51.0,36.0,bowledbowled,8.3,4.34
11,SR Watson,33.0,19.0,2.0,3.0,173.68,SR Watson,25.0,28.0,caughtcaught,4.1,6.83
11,STR Binny,16.0,14.0,1.0,0.0,114.29,STR Binny,12.0,12.0,0,2.0,6.0
11,TM Dilshan,22.0,33.0,2.0,0.0,66.67,TM Dilshan,25.0,52.0,caught,4.1,12.68
11,UT Yadav,14.0,10.0,1.0,1.0,140.0,UT Yadav,151.0,242.0,bowledcaughtcaughtcaughtcaughtcaughtcaught,25.1,9.64
11,V Shankar,9.0,3.0,0.0,1.0,300.0,V Shankar,15.0,13.0,run out,2.3,5.65
11,VG Arora,1.0,2.0,0.0,0.0,50.0,VG Arora,25.0,21.0,caughtbowled,4.1,5.12
