batsman,total_runs,total_balls_faced,total_fours,total_sixes,strike_rate,total_balls_bowled,total_runs_conceded,total_wickets,overs_bowled,economy
V Sehwag,891.0,585.0,107.0,36.0,152.31,138.0,236.0,14,23.0,10.26
V Shankar,373.0,290.0,19.0,21.0,128.62,202.0,262.0,14,33.4,7.78
V Viyaskanth,7.0,5.0,0.0,0.0,140.0,12.0,22.0,1,2.0,11.0
VG Arora,9.0,17.0,0.0,0.0,52.94,231.0,305.0,7,38.3,7.92
VR Aaron,50.0,73.0,2.0,2.0,68.49,371.0,528.0,12,61.5,8.54
VR Iyer,482.0,360.0,42.0,25.0,133.89,84.0,145.0,8,14.0,10.36
VRV Singh,4.0,3.0,1.0,0.0,133.33,51.0,76.0,2,8.3,8.94
VS Malik,7.0,7.0,1.0,0.0,100.0,55.0,73.0,2,9.1,7.96
VS Yeligati,2.0,2.0,0.0,0.0,100.0,25.0,45.0,1,4.1,10.8
VY Mahesh,15.0,28.0,0.0,0.0,53.57,116.0,182.0,5,19.2,9.41
Vijaykumar Vyshak,14.0,13.0,0.0,1.0,107.69,84.0,161.0,4,14.0,11.5
Vivrant Sharma,69.0,49.0,9.0,2.0,140.82,8.0,19.0,1,1.2,14.25
WA Mota,26.0,40.0,0.0,0.0,65.0,55.0,67.0,5,9.1,7.31
WD Parnell,65.0,86.0,4.0,1.0,75.58,390.0,515.0,12,65.0,7.92
WG Jacks,85.0,63.0,9.0,3.0,134.92,80.0,132.0,6,13.2,9.9
WPUJC Vaas,81.0,73.0,2.0,3.0,110.96,240.0,301.0,11,40.0,7.52
Washington Sundar,378.0,341.0,32.0,9.0,110.85,853.0,1050.0,29,142.1,7.39
Y Nagar,104.0,100.0,7.0,4.0,104.0,72.0,125.0,8,12.0,10.42
Y Prithvi Raj,0.0,1.0,0.0,0.0,0.0,20.0,29.0,1,3.2,8.7
Y Venugopal Rao,473.0,367.0,36.0,23.0,128.88,222.0,338.0,16,37.0,9.14
YA Abdulla,0.0,1.0,0.0,0.0,0.0,31.0,50.0,1,5.1,9.68
YBK Jaiswal,4.0,6.0,0.0,0.0,66.67,1.0,6.0,1,0.1,36.0
YK Pathan,2732.0,1963.0,233.0,132.0,139.17,1184.0,1443.0,47,197.2,7.31
YS Chahal,37.0,89.0,0.0,0.0,41.57,1057.0,1352.0,13,176.1,7.67
Yash Dayal,0.0,1.0,0.0,0.0,0.0,27.0,42.0,1,4.3,9.33
Yudhvir Singh,22.0,16.0,1.0,2.0,137.5,55.0,99.0,4,9.1,10.8
Yuvraj Singh,2359.0,1891.0,176.0,133.0,124.75,875.0,1083.0,42,145.5,7.43
Z Khan,117.0,141.0,11.0,2.0,82.98,1199.0,1564.0,23,199.5,7.83
